day,hour,cost
11/2/2022,24,190.1
12/2/2022,1,195.91
12/2/2022,2,187.2
12/2/2022,3,184.89
12/2/2022,4,170.24
12/2/2022,5,166
12/2/2022,6,162.45
12/2/2022,7,160.64
12/2/2022,8,162.56
12/2/2022,9,157.24
12/2/2022,10,121.8
12/2/2022,11,115.76
12/2/2022,12,121.27
12/2/2022,13,111.83
12/2/2022,14,109.03
12/2/2022,15,115.34
12/2/2022,16,116.85
12/2/2022,17,171.56
12/2/2022,18,194.89
12/2/2022,19,191.8
12/2/2022,20,148.81
12/2/2022,21,121.12
12/2/2022,22,104.74
12/2/2022,23,109.29
12/2/2022,24,101.7
13/2/2022,1,88.07
13/2/2022,2,98.65
13/2/2022,3,99.78
13/2/2022,4,99.14
13/2/2022,5,104.22
13/2/2022,6,99.91
13/2/2022,7,93.99
13/2/2022,8,88.55
13/2/2022,9,88.06
13/2/2022,10,60
13/2/2022,11,73.03
13/2/2022,12,67.23
13/2/2022,13,30.08
13/2/2022,14,43.25
13/2/2022,15,50.12
13/2/2022,16,81.78
13/2/2022,17,101.6
13/2/2022,18,168.76
13/2/2022,19,136
13/2/2022,20,144.91
13/2/2022,21,142.04
13/2/2022,22,131.02
13/2/2022,23,126
13/2/2022,24,97.65
14/2/2022,1,131.05
14/2/2022,2,136.01
14/2/2022,3,136.04
14/2/2022,4,131.08
14/2/2022,5,131.07
14/2/2022,6,182.72
14/2/2022,7,225
14/2/2022,8,250
14/2/2022,9,228.43
14/2/2022,10,192.91
14/2/2022,11,189.93
14/2/2022,12,188.95
14/2/2022,13,145.04
14/2/2022,14,184.25
14/2/2022,15,190.05
14/2/2022,16,193.98
14/2/2022,17,217.26
14/2/2022,18,210.06
14/2/2022,19,197.13
14/2/2022,20,167.3
14/2/2022,21,189.92
14/2/2022,22,126.86
14/2/2022,23,123.05
14/2/2022,24,110.94
15/2/2022,1,112.68
15/2/2022,2,125
15/2/2022,3,112.3
15/2/2022,4,118.28
15/2/2022,5,126.86
15/2/2022,6,156.66
15/2/2022,7,204.2
15/2/2022,8,245
15/2/2022,9,262.88
15/2/2022,10,240
